symbol,strike,right,time,bid,ask,midpoint
SPY,661,C,2026-02-13 09:58:00-05:00,18.74,19.07,19.07
SPY,661,C,2026-02-13 09:59:00-05:00,18.46,18.87,18.87
SPY,661,C,2026-02-13 10:00:00-05:00,18.04,19.53,19.53
SPY,661,C,2026-02-13 10:01:00-05:00,18.97,19.89,19.89
SPY,661,C,2026-02-13 10:02:00-05:00,19.79,20.21,20.21
SPY,661,C,2026-02-13 10:03:00-05:00,19.51,20.25,20.25
SPY,661,C,2026-02-13 10:04:00-05:00,19.5,19.98,19.98
SPY,661,C,2026-02-13 10:05:00-05:00,19.1,19.56,19.56
SPY,661,C,2026-02-13 10:06:00-05:00,19.2,19.72,19.72
SPY,661,C,2026-02-13 10:07:00-05:00,19.55,19.95,19.95
SPY,661,C,2026-02-13 10:08:00-05:00,19.97,20.49,20.49
SPY,661,C,2026-02-13 10:09:00-05:00,19.88,21.02,21.02
SPY,661,C,2026-02-13 10:10:00-05:00,20.88,21.29,21.29
SPY,661,C,2026-02-13 10:11:00-05:00,21.51,21.72,21.72
SPY,661,C,2026-02-13 10:12:00-05:00,21.1,21.5,21.5
SPY,661,C,2026-02-13 10:13:00-05:00,21.17,21.47,21.47
SPY,661,C,2026-02-13 10:14:00-05:00,20.32,21.06,21.06
SPY,661,C,2026-02-13 10:15:00-05:00,20.24,20.86,20.86
SPY,661,C,2026-02-13 10:16:00-05:00,19.64,20.35,20.35
SPY,661,C,2026-02-13 10:17:00-05:00,19.6,19.85,19.85
SPY,661,C,2026-02-13 10:18:00-05:00,19.69,19.99,19.99
SPY,661,C,2026-02-13 10:19:00-05:00,19.87,20.11,20.11
SPY,661,C,2026-02-13 10:20:00-05:00,19.91,20.4,20.4
SPY,661,C,2026-02-13 10:21:00-05:00,19.82,20.41,20.41
SPY,661,C,2026-02-13 10:22:00-05:00,19.53,20.07,20.07
SPY,661,C,2026-02-13 10:23:00-05:00,19.6,20.08,20.08
SPY,661,C,2026-02-13 10:24:00-05:00,19.95,20.31,20.31
SPY,661,C,2026-02-13 10:25:00-05:00,20.19,20.67,20.67
SPY,661,C,2026-02-13 10:26:00-05:00,20.68,20.98,20.98
SPY,661,C,2026-02-13 10:27:00-05:00,20.96,21.23,21.23
SPY,661,C,2026-02-13 10:28:00-05:00,21.44,21.82,21.82
SPY,661,C,2026-02-13 10:29:00-05:00,20.62,21.9,21.9
SPY,661,C,2026-02-13 10:30:00-05:00,21.88,22.49,22.49
SPY,661,C,2026-02-13 10:31:00-05:00,21.12,22.58,22.58
SPY,661,C,2026-02-13 10:32:00-05:00,22.39,22.64,22.64
SPY,661,C,2026-02-13 10:33:00-05:00,22.96,23.31,23.31
SPY,661,C,2026-02-13 10:34:00-05:00,23.04,23.21,23.21
SPY,661,C,2026-02-13 10:35:00-05:00,22.8,23.14,23.14
SPY,661,C,2026-02-13 10:36:00-05:00,23.14,23.35,23.35
SPY,661,C,2026-02-13 10:37:00-05:00,23.14,23.32,23.32
SPY,661,C,2026-02-13 10:38:00-05:00,22.04,22.62,22.62
SPY,661,C,2026-02-13 10:39:00-05:00,21.8,22.05,22.05
SPY,661,C,2026-02-13 10:40:00-05:00,21.45,21.63,21.63
SPY,661,C,2026-02-13 10:41:00-05:00,21.5,21.75,21.75
SPY,661,C,2026-02-13 10:42:00-05:00,21.42,21.87,21.87
SPY,661,C,2026-02-13 10:43:00-05:00,21.1,21.5,21.5
SPY,661,C,2026-02-13 10:44:00-05:00,20.58,21.1,21.1
SPY,661,C,2026-02-13 10:45:00-05:00,20.6,20.79,20.79
SPY,661,C,2026-02-13 10:46:00-05:00,20.0,20.66,20.66
SPY,661,C,2026-02-13 10:47:00-05:00,19.91,20.16,20.16
SPY,661,C,2026-02-13 10:48:00-05:00,20.07,20.25,20.25
SPY,661,C,2026-02-13 10:49:00-05:00,19.82,19.96,19.96
SPY,661,C,2026-02-13 10:50:00-05:00,20.12,20.51,20.51
SPY,661,C,2026-02-13 10:51:00-05:00,20.59,21.19,21.19
SPY,661,C,2026-02-13 10:52:00-05:00,21.12,21.39,21.39
SPY,661,C,2026-02-13 10:53:00-05:00,21.22,21.51,21.51
SPY,661,C,2026-02-13 10:54:00-05:00,21.5,21.66,21.66
SPY,661,C,2026-02-13 10:55:00-05:00,21.53,21.94,21.94
SPY,661,C,2026-02-13 10:56:00-05:00,21.28,21.77,21.77
SPY,661,C,2026-02-13 10:57:00-05:00,21.35,21.77,21.77
SPY,661,C,2026-02-13 10:58:00-05:00,21.66,21.83,21.83
SPY,661,C,2026-02-13 10:59:00-05:00,21.34,21.51,21.51
SPY,661,C,2026-02-13 11:00:00-05:00,21.48,21.79,21.79
SPY,661,C,2026-02-13 11:01:00-05:00,21.6,21.88,21.88
SPY,661,C,2026-02-13 11:02:00-05:00,21.85,22.09,22.09
SPY,661,C,2026-02-13 11:03:00-05:00,21.77,21.98,21.98
SPY,661,C,2026-02-13 11:04:00-05:00,21.96,22.17,22.17
SPY,661,C,2026-02-13 11:05:00-05:00,22.31,22.46,22.46
SPY,661,C,2026-02-13 11:06:00-05:00,22.58,22.84,22.84
SPY,661,C,2026-02-13 11:07:00-05:00,22.57,22.86,22.86
SPY,661,C,2026-02-13 11:08:00-05:00,22.68,22.93,22.93
SPY,661,C,2026-02-13 11:09:00-05:00,22.82,22.99,22.99
SPY,661,C,2026-02-13 11:10:00-05:00,22.2,22.54,22.54
SPY,661,C,2026-02-13 11:11:00-05:00,22.08,22.24,22.24
SPY,661,C,2026-02-13 11:12:00-05:00,21.67,22.02,22.02
SPY,661,C,2026-02-13 11:13:00-05:00,21.73,21.91,21.91
SPY,661,C,2026-02-13 11:14:00-05:00,21.99,22.18,22.18
SPY,661,C,2026-02-13 11:15:00-05:00,22.23,22.41,22.41
SPY,661,C,2026-02-13 11:16:00-05:00,22.29,22.5,22.5
SPY,661,C,2026-02-13 11:17:00-05:00,22.27,22.59,22.59
SPY,661,C,2026-02-13 11:18:00-05:00,22.54,22.72,22.72
SPY,661,C,2026-02-13 11:19:00-05:00,22.07,22.42,22.42
SPY,661,C,2026-02-13 11:20:00-05:00,21.55,22.02,22.02
SPY,661,C,2026-02-13 11:21:00-05:00,21.38,21.49,21.49
SPY,661,C,2026-02-13 11:22:00-05:00,21.48,21.59,21.59
SPY,661,C,2026-02-13 11:23:00-05:00,20.81,21.31,21.31
SPY,661,C,2026-02-13 11:24:00-05:00,20.83,21.14,21.14
SPY,661,C,2026-02-13 11:25:00-05:00,21.2,21.37,21.37
SPY,661,C,2026-02-13 11:26:00-05:00,21.34,21.66,21.66
SPY,661,C,2026-02-13 11:27:00-05:00,20.82,22.21,22.21
SPY,661,C,2026-02-13 11:28:00-05:00,22.54,22.74,22.74
SPY,661,C,2026-02-13 11:29:00-05:00,22.39,22.58,22.58
SPY,661,C,2026-02-13 11:30:00-05:00,22.56,22.77,22.77
SPY,661,C,2026-02-13 11:31:00-05:00,21.88,22.49,22.49
SPY,661,C,2026-02-13 11:32:00-05:00,22.64,22.82,22.82
SPY,661,C,2026-02-13 11:33:00-05:00,22.79,22.93,22.93
SPY,661,C,2026-02-13 11:34:00-05:00,22.5,22.79,22.79
SPY,661,C,2026-02-13 11:35:00-05:00,22.7,22.81,22.81
SPY,661,C,2026-02-13 11:36:00-05:00,22.73,22.9,22.9
SPY,661,C,2026-02-13 11:37:00-05:00,22.3,22.85,22.85
SPY,661,C,2026-02-13 11:38:00-05:00,22.28,22.73,22.73
SPY,661,C,2026-02-13 11:39:00-05:00,23.02,23.17,23.17
SPY,661,C,2026-02-13 11:40:00-05:00,23.0,23.31,23.31
SPY,661,C,2026-02-13 11:41:00-05:00,23.07,23.32,23.32
SPY,661,C,2026-02-13 11:42:00-05:00,23.01,23.21,23.21
SPY,661,C,2026-02-13 11:43:00-05:00,22.94,23.31,23.31
SPY,661,C,2026-02-13 11:44:00-05:00,23.38,23.46,23.46
SPY,661,C,2026-02-13 11:45:00-05:00,23.49,23.66,23.66
SPY,661,C,2026-02-13 11:46:00-05:00,23.66,23.84,23.84
SPY,661,C,2026-02-13 11:47:00-05:00,23.57,23.73,23.73
SPY,661,C,2026-02-13 11:48:00-05:00,23.25,23.53,23.53
SPY,661,C,2026-02-13 11:49:00-05:00,23.26,23.37,23.37
SPY,661,C,2026-02-13 11:50:00-05:00,23.18,23.46,23.46
SPY,661,C,2026-02-13 11:51:00-05:00,23.42,23.63,23.63
SPY,661,C,2026-02-13 11:52:00-05:00,23.53,23.76,23.76
SPY,661,C,2026-02-13 11:53:00-05:00,23.54,23.71,23.71
SPY,661,C,2026-02-13 11:54:00-05:00,23.65,23.79,23.79
SPY,661,C,2026-02-13 11:55:00-05:00,23.85,23.97,23.97
SPY,661,C,2026-02-13 11:56:00-05:00,23.91,24.21,24.21
SPY,661,C,2026-02-13 11:57:00-05:00,24.11,24.25,24.25
SPY,661,C,2026-02-13 11:58:00-05:00,24.03,24.21,24.21
SPY,661,C,2026-02-13 11:59:00-05:00,23.73,23.91,23.91
SPY,661,C,2026-02-13 12:00:00-05:00,23.45,23.62,23.62
SPY,661,C,2026-02-13 12:01:00-05:00,23.67,23.94,23.94
SPY,661,C,2026-02-13 12:02:00-05:00,23.93,24.08,24.08
SPY,661,C,2026-02-13 12:03:00-05:00,23.96,24.14,24.14
SPY,661,C,2026-02-13 12:04:00-05:00,24.22,24.29,24.29
SPY,661,C,2026-02-13 12:05:00-05:00,24.23,24.37,24.37
SPY,661,C,2026-02-13 12:06:00-05:00,24.3,24.44,24.44
SPY,661,C,2026-02-13 12:07:00-05:00,24.0,24.39,24.39
SPY,661,C,2026-02-13 12:08:00-05:00,24.11,24.23,24.23
SPY,661,C,2026-02-13 12:09:00-05:00,24.15,24.22,24.22
SPY,661,C,2026-02-13 12:10:00-05:00,24.16,24.32,24.32
SPY,661,C,2026-02-13 12:11:00-05:00,24.25,24.34,24.34
SPY,661,C,2026-02-13 12:12:00-05:00,24.16,24.31,24.31
SPY,661,C,2026-02-13 12:13:00-05:00,24.41,24.58,24.58
SPY,661,C,2026-02-13 12:14:00-05:00,24.63,24.8,24.8
SPY,661,C,2026-02-13 12:15:00-05:00,24.61,24.75,24.75
SPY,661,C,2026-02-13 12:16:00-05:00,24.36,24.52,24.52
SPY,661,C,2026-02-13 12:17:00-05:00,24.14,24.42,24.42
SPY,661,C,2026-02-13 12:18:00-05:00,23.8,23.98,23.98
SPY,661,C,2026-02-13 12:19:00-05:00,23.94,24.02,24.02
SPY,661,C,2026-02-13 12:20:00-05:00,23.95,24.21,24.21
SPY,661,C,2026-02-13 12:21:00-05:00,24.43,24.67,24.67
SPY,661,C,2026-02-13 12:22:00-05:00,24.7,24.79,24.79
SPY,661,C,2026-02-13 12:23:00-05:00,24.73,24.86,24.86
SPY,661,C,2026-02-13 12:24:00-05:00,24.66,24.78,24.78
SPY,661,C,2026-02-13 12:25:00-05:00,24.29,24.54,24.54
SPY,661,C,2026-02-13 12:26:00-05:00,24.24,24.43,24.43
SPY,661,C,2026-02-13 12:27:00-05:00,24.35,24.44,24.44
SPY,661,C,2026-02-13 12:28:00-05:00,24.33,24.55,24.55
SPY,661,C,2026-02-13 12:29:00-05:00,24.29,24.54,24.54
SPY,661,C,2026-02-13 12:30:00-05:00,24.25,24.43,24.43
SPY,661,C,2026-02-13 12:31:00-05:00,24.53,24.78,24.78
SPY,661,C,2026-02-13 12:32:00-05:00,24.75,24.9,24.9
SPY,661,C,2026-02-13 12:33:00-05:00,24.71,24.84,24.84
SPY,661,C,2026-02-13 12:34:00-05:00,24.74,24.86,24.86
SPY,661,C,2026-02-13 12:35:00-05:00,24.7,24.83,24.83
SPY,661,C,2026-02-13 12:36:00-05:00,24.81,24.93,24.93
SPY,661,C,2026-02-13 12:37:00-05:00,24.73,24.86,24.86
SPY,661,C,2026-02-13 12:38:00-05:00,24.55,24.75,24.75
SPY,661,C,2026-02-13 12:39:00-05:00,24.62,24.77,24.77
SPY,661,C,2026-02-13 12:40:00-05:00,24.83,24.91,24.91
SPY,661,C,2026-02-13 12:41:00-05:00,24.92,25.06,25.06
SPY,661,C,2026-02-13 12:42:00-05:00,24.92,25.05,25.05
SPY,661,C,2026-02-13 12:43:00-05:00,24.81,24.92,24.92
SPY,661,C,2026-02-13 12:44:00-05:00,24.65,24.79,24.79
SPY,661,C,2026-02-13 12:45:00-05:00,24.46,24.57,24.57
SPY,661,C,2026-02-13 12:46:00-05:00,24.58,24.79,24.79
SPY,661,C,2026-02-13 12:47:00-05:00,24.46,24.64,24.64
SPY,661,C,2026-02-13 12:48:00-05:00,24.41,24.59,24.59
SPY,661,C,2026-02-13 12:49:00-05:00,24.7,24.84,24.84
SPY,661,C,2026-02-13 12:50:00-05:00,24.7,24.8,24.8
SPY,661,C,2026-02-13 12:51:00-05:00,24.53,24.7,24.7
SPY,661,C,2026-02-13 12:52:00-05:00,24.65,24.74,24.74
SPY,661,C,2026-02-13 12:53:00-05:00,24.52,24.68,24.68
SPY,661,C,2026-02-13 12:54:00-05:00,24.29,24.45,24.45
SPY,661,C,2026-02-13 12:55:00-05:00,24.19,24.35,24.35
SPY,661,C,2026-02-13 12:56:00-05:00,23.97,24.22,24.22
SPY,661,C,2026-02-13 12:57:00-05:00,24.09,24.22,24.22
SPY,661,C,2026-02-13 12:58:00-05:00,24.03,24.15,24.15
SPY,661,C,2026-02-13 12:59:00-05:00,23.85,24.06,24.06
SPY,661,C,2026-02-13 13:00:00-05:00,24.06,24.2,24.2
SPY,661,C,2026-02-13 13:01:00-05:00,23.58,23.82,23.82
SPY,661,C,2026-02-13 13:02:00-05:00,23.52,23.7,23.7
SPY,661,C,2026-02-13 13:03:00-05:00,23.34,23.52,23.52
SPY,661,C,2026-02-13 13:04:00-05:00,23.37,23.48,23.48
SPY,661,C,2026-02-13 13:05:00-05:00,23.08,23.31,23.31
SPY,661,C,2026-02-13 13:06:00-05:00,23.31,23.52,23.52
SPY,661,C,2026-02-13 13:07:00-05:00,23.43,23.57,23.57
SPY,661,C,2026-02-13 13:08:00-05:00,23.49,23.76,23.76
SPY,661,C,2026-02-13 13:09:00-05:00,23.69,23.8,23.8
SPY,661,C,2026-02-13 13:10:00-05:00,23.7,23.98,23.98
SPY,661,C,2026-02-13 13:11:00-05:00,24.09,24.21,24.21
SPY,661,C,2026-02-13 13:12:00-05:00,24.14,24.25,24.25
SPY,661,C,2026-02-13 13:13:00-05:00,23.97,24.16,24.16
SPY,661,C,2026-02-13 13:14:00-05:00,24.18,24.28,24.28
SPY,661,C,2026-02-13 13:15:00-05:00,23.95,24.2,24.2
SPY,661,C,2026-02-13 13:16:00-05:00,24.26,24.44,24.44
SPY,661,C,2026-02-13 13:17:00-05:00,24.53,24.61,24.61
SPY,661,C,2026-02-13 13:18:00-05:00,24.57,24.67,24.67
SPY,661,C,2026-02-13 13:19:00-05:00,24.02,24.43,24.43
SPY,661,C,2026-02-13 13:20:00-05:00,24.27,24.54,24.54
SPY,661,C,2026-02-13 13:21:00-05:00,24.43,24.61,24.61
SPY,661,C,2026-02-13 13:22:00-05:00,24.59,24.74,24.74
SPY,661,C,2026-02-13 13:23:00-05:00,25.01,25.09,25.09
SPY,661,C,2026-02-13 13:24:00-05:00,24.8,24.93,24.93
SPY,661,C,2026-02-13 13:25:00-05:00,24.4,24.6,24.6
SPY,661,C,2026-02-13 13:26:00-05:00,24.19,24.37,24.37
SPY,661,C,2026-02-13 13:27:00-05:00,24.33,24.4,24.4
SPY,661,C,2026-02-13 13:28:00-05:00,24.38,24.66,24.66
SPY,661,C,2026-02-13 13:29:00-05:00,23.9,24.64,24.64
SPY,661,C,2026-02-13 13:30:00-05:00,22.92,24.29,24.29
SPY,661,C,2026-02-13 13:31:00-05:00,24.33,24.47,24.47
SPY,661,C,2026-02-13 13:32:00-05:00,24.41,24.56,24.56
SPY,661,C,2026-02-13 13:33:00-05:00,24.53,24.68,24.68
SPY,661,C,2026-02-13 13:34:00-05:00,24.72,24.78,24.78
SPY,661,C,2026-02-13 13:35:00-05:00,24.64,24.73,24.73
SPY,661,C,2026-02-13 13:36:00-05:00,24.79,24.91,24.91
SPY,661,C,2026-02-13 13:37:00-05:00,24.49,24.68,24.68
SPY,661,C,2026-02-13 13:38:00-05:00,24.27,24.53,24.53
SPY,661,C,2026-02-13 13:39:00-05:00,24.63,24.75,24.75
SPY,661,C,2026-02-13 13:40:00-05:00,24.34,24.57,24.57
SPY,661,C,2026-02-13 13:41:00-05:00,24.16,24.3,24.3
SPY,661,C,2026-02-13 13:42:00-05:00,23.83,24.05,24.05
SPY,661,C,2026-02-13 13:43:00-05:00,23.87,23.98,23.98
SPY,661,C,2026-02-13 13:44:00-05:00,23.85,23.97,23.97
SPY,661,C,2026-02-13 13:45:00-05:00,23.95,24.12,24.12
SPY,661,C,2026-02-13 13:46:00-05:00,24.17,24.37,24.37
SPY,661,C,2026-02-13 13:47:00-05:00,24.42,24.5,24.5
SPY,661,C,2026-02-13 13:48:00-05:00,24.42,24.54,24.54
SPY,661,C,2026-02-13 13:49:00-05:00,24.13,24.32,24.32
SPY,661,C,2026-02-13 13:50:00-05:00,23.82,23.97,23.97
SPY,661,C,2026-02-13 13:51:00-05:00,23.7,23.82,23.82
SPY,661,C,2026-02-13 13:52:00-05:00,23.38,23.67,23.67
SPY,661,C,2026-02-13 13:53:00-05:00,23.39,23.66,23.66
SPY,661,C,2026-02-13 13:54:00-05:00,23.8,23.91,23.91
SPY,661,C,2026-02-13 13:55:00-05:00,23.71,23.82,23.82
SPY,661,C,2026-02-13 13:56:00-05:00,23.76,23.92,23.92
SPY,661,C,2026-02-13 13:57:00-05:00,23.65,23.84,23.84
SPY,661,C,2026-02-13 13:58:00-05:00,23.35,23.57,23.57
SPY,661,C,2026-02-13 13:59:00-05:00,23.36,23.55,23.55
SPY,661,C,2026-02-13 14:00:00-05:00,23.44,23.58,23.58
SPY,661,C,2026-02-13 14:01:00-05:00,23.54,23.69,23.69
SPY,661,C,2026-02-13 14:02:00-05:00,23.47,23.81,23.81
SPY,661,C,2026-02-13 14:03:00-05:00,23.42,23.58,23.58
SPY,661,C,2026-02-13 14:04:00-05:00,23.44,23.56,23.56
SPY,661,C,2026-02-13 14:05:00-05:00,23.46,23.58,23.58
SPY,661,C,2026-02-13 14:06:00-05:00,23.65,23.79,23.79
SPY,661,C,2026-02-13 14:07:00-05:00,23.77,23.9,23.9
SPY,661,C,2026-02-13 14:08:00-05:00,23.6,23.72,23.72
SPY,661,C,2026-02-13 14:09:00-05:00,23.81,24.0,24.0
SPY,661,C,2026-02-13 14:10:00-05:00,23.94,24.11,24.11
SPY,661,C,2026-02-13 14:11:00-05:00,23.78,23.95,23.95
SPY,661,C,2026-02-13 14:12:00-05:00,23.97,24.17,24.17
SPY,661,C,2026-02-13 14:13:00-05:00,23.63,23.92,23.92
SPY,661,C,2026-02-13 14:14:00-05:00,23.83,23.92,23.92
SPY,661,C,2026-02-13 14:15:00-05:00,23.71,23.86,23.86
SPY,661,C,2026-02-13 14:16:00-05:00,23.67,23.85,23.85
SPY,661,C,2026-02-13 14:17:00-05:00,23.51,23.67,23.67
SPY,661,C,2026-02-13 14:18:00-05:00,23.65,23.81,23.81
SPY,661,C,2026-02-13 14:19:00-05:00,23.74,23.88,23.88
SPY,661,C,2026-02-13 14:20:00-05:00,23.78,23.94,23.94
SPY,661,C,2026-02-13 14:21:00-05:00,23.92,24.04,24.04
SPY,661,C,2026-02-13 14:22:00-05:00,23.87,24.01,24.01
SPY,661,C,2026-02-13 14:23:00-05:00,24.06,24.14,24.14
SPY,661,C,2026-02-13 14:24:00-05:00,24.13,24.22,24.22
SPY,661,C,2026-02-13 14:25:00-05:00,24.08,24.19,24.19
SPY,661,C,2026-02-13 14:26:00-05:00,23.64,23.97,23.97
SPY,661,C,2026-02-13 14:27:00-05:00,23.34,23.52,23.52
SPY,661,C,2026-02-13 14:28:00-05:00,23.45,23.56,23.56
SPY,661,C,2026-02-13 14:29:00-05:00,23.08,23.35,23.35
SPY,661,C,2026-02-13 14:30:00-05:00,23.21,23.52,23.52
SPY,661,C,2026-02-13 14:31:00-05:00,23.49,23.63,23.63
SPY,661,C,2026-02-13 14:32:00-05:00,23.52,23.65,23.65
SPY,661,C,2026-02-13 14:33:00-05:00,23.63,23.7,23.7
SPY,661,C,2026-02-13 14:34:00-05:00,23.47,23.58,23.58
SPY,661,C,2026-02-13 14:35:00-05:00,23.51,23.65,23.65
SPY,661,C,2026-02-13 14:36:00-05:00,23.42,23.56,23.56
SPY,661,C,2026-02-13 14:37:00-05:00,23.37,23.48,23.48
SPY,661,C,2026-02-13 14:38:00-05:00,23.16,23.36,23.36
SPY,661,C,2026-02-13 14:39:00-05:00,22.76,23.0,23.0
SPY,661,C,2026-02-13 14:40:00-05:00,22.88,23.04,23.04
SPY,661,C,2026-02-13 14:41:00-05:00,22.26,22.73,22.73
SPY,661,C,2026-02-13 14:42:00-05:00,22.28,22.48,22.48
SPY,661,C,2026-02-13 14:43:00-05:00,22.31,22.52,22.52
SPY,661,C,2026-02-13 14:44:00-05:00,22.32,22.46,22.46
SPY,661,C,2026-02-13 14:45:00-05:00,22.43,22.77,22.77
SPY,661,C,2026-02-13 14:46:00-05:00,23.02,23.09,23.09
SPY,661,C,2026-02-13 14:47:00-05:00,22.75,22.92,22.92
SPY,661,C,2026-02-13 14:48:00-05:00,22.58,22.73,22.73
SPY,661,C,2026-02-13 14:49:00-05:00,22.61,22.79,22.79
SPY,661,C,2026-02-13 14:50:00-05:00,22.54,22.72,22.72
SPY,661,C,2026-02-13 14:51:00-05:00,22.38,22.65,22.65
SPY,661,C,2026-02-13 14:52:00-05:00,22.18,22.34,22.34
SPY,661,C,2026-02-13 14:53:00-05:00,22.11,22.24,22.24
SPY,661,C,2026-02-13 14:54:00-05:00,22.09,22.18,22.18
SPY,661,C,2026-02-13 14:55:00-05:00,22.15,22.3,22.3
SPY,661,C,2026-02-13 14:56:00-05:00,22.17,22.3,22.3
SPY,661,C,2026-02-13 14:57:00-05:00,22.0,22.15,22.15
SPY,661,C,2026-02-13 14:58:00-05:00,20.25,21.79,21.79
SPY,661,C,2026-02-13 14:59:00-05:00,20.13,21.35,21.35
SPY,661,C,2026-02-13 15:00:00-05:00,21.34,21.6,21.6
SPY,661,C,2026-02-13 15:01:00-05:00,21.61,21.89,21.89
SPY,661,C,2026-02-13 15:02:00-05:00,21.84,22.02,22.02
SPY,661,C,2026-02-13 15:03:00-05:00,21.77,21.87,21.87
SPY,661,C,2026-02-13 15:04:00-05:00,21.96,22.14,22.14
SPY,661,C,2026-02-13 15:05:00-05:00,22.02,22.14,22.14
SPY,661,C,2026-02-13 15:06:00-05:00,21.93,22.13,22.13
SPY,661,C,2026-02-13 15:07:00-05:00,22.04,22.16,22.16
SPY,661,C,2026-02-13 15:08:00-05:00,21.62,21.89,21.89
SPY,661,C,2026-02-13 15:09:00-05:00,21.68,21.93,21.93
SPY,661,C,2026-02-13 15:10:00-05:00,21.78,21.92,21.92
SPY,661,C,2026-02-13 15:11:00-05:00,21.72,21.81,21.81
SPY,661,C,2026-02-13 15:12:00-05:00,21.55,21.79,21.79
SPY,661,C,2026-02-13 15:13:00-05:00,21.27,21.43,21.43
SPY,661,C,2026-02-13 15:14:00-05:00,21.08,21.24,21.24
SPY,661,C,2026-02-13 15:15:00-05:00,21.02,21.25,21.25
SPY,661,C,2026-02-13 15:16:00-05:00,21.05,21.2,21.2
SPY,661,C,2026-02-13 15:17:00-05:00,20.88,21.06,21.06
SPY,661,C,2026-02-13 15:18:00-05:00,20.8,21.04,21.04
SPY,661,C,2026-02-13 15:19:00-05:00,20.94,21.36,21.36
SPY,661,C,2026-02-13 15:20:00-05:00,21.1,21.27,21.27
SPY,661,C,2026-02-13 15:21:00-05:00,21.06,21.21,21.21
SPY,661,C,2026-02-13 15:22:00-05:00,20.98,21.13,21.13
SPY,661,C,2026-02-13 15:23:00-05:00,20.77,20.92,20.92
SPY,661,C,2026-02-13 15:24:00-05:00,20.65,20.92,20.92
SPY,661,C,2026-02-13 15:25:00-05:00,20.14,20.62,20.62
SPY,661,C,2026-02-13 15:26:00-05:00,20.03,20.14,20.14
SPY,661,C,2026-02-13 15:27:00-05:00,19.52,19.91,19.91
SPY,661,C,2026-02-13 15:28:00-05:00,19.35,19.67,19.67
SPY,661,C,2026-02-13 15:29:00-05:00,19.33,19.49,19.49
SPY,661,C,2026-02-13 15:30:00-05:00,19.37,19.56,19.56
SPY,661,C,2026-02-13 15:31:00-05:00,19.45,19.72,19.72
SPY,661,C,2026-02-13 15:32:00-05:00,19.63,19.89,19.89
SPY,661,C,2026-02-13 15:33:00-05:00,19.45,19.64,19.64
SPY,661,C,2026-02-13 15:34:00-05:00,19.18,19.5,19.5
SPY,661,C,2026-02-13 15:35:00-05:00,19.1,19.27,19.27
SPY,661,C,2026-02-13 15:36:00-05:00,19.11,19.23,19.23
SPY,661,C,2026-02-13 15:37:00-05:00,19.0,19.1,19.1
SPY,661,C,2026-02-13 15:38:00-05:00,18.99,19.16,19.16
SPY,661,C,2026-02-13 15:39:00-05:00,19.28,19.4,19.4
SPY,661,C,2026-02-13 15:40:00-05:00,19.26,19.59,19.59
SPY,661,C,2026-02-13 15:41:00-05:00,19.23,19.36,19.36
SPY,661,C,2026-02-13 15:42:00-05:00,18.86,19.11,19.11
SPY,661,C,2026-02-13 15:43:00-05:00,18.79,18.86,18.86
SPY,661,C,2026-02-13 15:44:00-05:00,18.9,19.14,19.14
SPY,661,C,2026-02-13 15:45:00-05:00,19.05,19.32,19.32
SPY,661,C,2026-02-13 15:46:00-05:00,19.18,19.36,19.36
